name,geometry
Brian Head,"<Point><coordinates>-112.84063,37.689255,0.0</coordinates></Point>"
Brighton Ski Resort,"<Point><coordinates>-111.583412,40.598446,0.0</coordinates></Point>"
Eagle Point,"<Point><coordinates>-112.377831,38.324692,0.0</coordinates></Point>"
Sundance Resort,"<Point><coordinates>-111.5811,40.392712,0.0</coordinates></Point>"
Chestnut Mountain,"<Point><coordinates>-90.39341,42.319653,0.0</coordinates></Point>"
Four Lakes,"<Point><coordinates>-88.083641,41.782448,0.0</coordinates></Point>"
Ski Snowstar,"<Point><coordinates>-90.747787,41.42355,0.0</coordinates></Point>"
Villa Olivia,"<Point><coordinates>-88.22007,42.016014,0.0</coordinates></Point>"
Mt. Crescent,"<Point><coordinates>-95.855713,41.401535,0.0</coordinates></Point>"
Seven Oaks,"<Point><coordinates>-93.691406,41.640079,0.0</coordinates></Point>"
Sundown Mountain,"<Point><coordinates>-90.813393,42.516651,0.0</coordinates></Point>"
Berkshire East,"<Point><coordinates>-72.873444,42.624168,0.0</coordinates></Point>"
Blandford Ski Area,"<Point><coordinates>-72.907608,42.19495,0.0</coordinates></Point>"
Blue Hills,"<Point><coordinates>-71.067184,42.218601,0.0</coordinates></Point>"
Bradford,"<Point><coordinates>-73.277229,42.415947,0.0</coordinates></Point>"
Bradford,"<Point><coordinates>-71.05735,42.744553,0.0</coordinates></Point>"
Jiminy Peak,"<Point><coordinates>-73.290665,42.558895,0.0</coordinates></Point>"
Nashoba,"<Point><coordinates>-71.443115,42.542393,0.0</coordinates></Point>"
Mont Sainte-Anne,"<Point><coordinates>-70.911255,47.085087,0.0</coordinates></Point>"
Grand Targhee Ski Resort,"<Point><coordinates>-110.957809,43.786648,0.0</coordinates></Point>"
Hogadon Ski Resort,"<Point><coordinates>-106.330002,42.73138,0.0</coordinates></Point>"
Jackson Hole Ski Resort,"<Point><coordinates>-110.827171,43.587914,0.0</coordinates></Point>"
Sleeping Giant Ski Resort,"<Point><coordinates>-109.943275,44.494671,0.0</coordinates></Point>"
Snow King Ski Resort,"<Point><coordinates>-110.687256,43.484814,0.0</coordinates></Point>"
White Pine Ski Resort,"<Point><coordinates>-109.775391,42.988575,0.0</coordinates></Point>"
Snowy Range Ski Resort,"<Point><coordinates>-106.183907,41.348015,0.0</coordinates></Point>"
Alpine Valley Ski Resort,"<Point><coordinates>-88.427635,42.742977,0.0</coordinates></Point>"
Cascade Mountain,"<Point><coordinates>-89.529488,43.507416,0.0</coordinates></Point>"
Christmas Mountain,"<Point><coordinates>-89.858391,43.615944,0.0</coordinates></Point>"
Christie Mountain Resort,"<Point><coordinates>-91.381409,45.512272,0.0</coordinates></Point>"
Devil's Head,"<Point><coordinates>-89.615479,43.421009,0.0</coordinates></Point>"
Grand Geneva,"<Point><coordinates>-88.39817,42.608696,0.0</coordinates></Point>"
Granite Peak,"<Point><coordinates>-89.681068,44.935154,0.0</coordinates></Point>"
Hidden Valley,"<Point><coordinates>-87.691597,44.101456,0.0</coordinates></Point>"
Highlands of Olympia,"<Point><coordinates>-88.475868,43.089199,0.0</coordinates></Point>"
Mount La Crosse,"<Point><coordinates>-91.183182,43.742886,0.0</coordinates></Point>"
Nordic Mountain,"<Point><coordinates>-89.174065,44.116245,0.0</coordinates></Point>"
Sunburst,"<Point><coordinates>-88.222733,43.493874,0.0</coordinates></Point>"
Trollhaugen Ski Area,"<Point><coordinates>-92.618057,45.350548,0.0</coordinates></Point>"
Tyrol Basin,"<Point><coordinates>-89.781143,43.045242,0.0</coordinates></Point>"
Whitecap Mountain,"<Point><coordinates>-90.396027,46.407562,0.0</coordinates></Point>"
Wilmot Mountain,"<Point><coordinates>-88.187614,42.505451,0.0</coordinates></Point>"
Canaan Valley,"<Point><coordinates>-79.467606,39.032253,0.0</coordinates></Point>"
Snowshoe Mountain,"<Point><coordinates>-79.995018,38.410088,0.0</coordinates></Point>"
Timberline Mountain,"<Point><coordinates>-79.425659,39.057583,0.0</coordinates></Point>"
Alpental Ski Resort,"<Point><coordinates>-121.400238,47.393875,0.0</coordinates></Point>"
Bluewood,"<Point><coordinates>-117.979439,46.319637,0.0</coordinates></Point>"
Crystal Mountain,"<Point><coordinates>-121.469078,46.953075,0.0</coordinates></Point>"
Mission Ridge Ski Resort,"<Point><coordinates>-120.398926,47.291454,0.0</coordinates></Point>"
Mt. Baker,"<Point><coordinates>-122.287987,47.58556,0.0</coordinates></Point>"
Mt. Spokane,"<Point><coordinates>-117.110367,47.943947,0.0</coordinates></Point>"
Stevens Pass,"<Point><coordinates>-121.09227,47.744114,0.0</coordinates></Point>"
Summit at Snoqualmie,"<Point><coordinates>-121.418854,47.421875,0.0</coordinates></Point>"
White Pass Mountain,"<Point><coordinates>-121.389587,46.637299,0.0</coordinates></Point>"
49 Degrees North,"<Point><coordinates>-117.564194,48.301353,0.0</coordinates></Point>"
Ascutney,"<Point><coordinates>-72.408363,43.392418,0.0</coordinates></Point>"
Magic Mountain,"<Point><coordinates>-72.772766,43.201424,0.0</coordinates></Point>"
Bolten Valley,"<Point><coordinates>-72.849449,44.42086,0.0</coordinates></Point>"
Burke Mountain,"<Point><coordinates>-71.89888,44.564056,0.0</coordinates></Point>"
Bromely Mountain,"<Point><coordinates>-72.933701,43.215061,0.0</coordinates></Point>"
Jay Peak,"<Point><coordinates>-72.460289,44.964828,0.0</coordinates></Point>"
Mad River Glen Resort,"<Point><coordinates>-72.921288,44.200359,0.0</coordinates></Point>"
Okemo Mountain Resort,"<Point><coordinates>-72.716118,43.403675,0.0</coordinates></Point>"
Pico Mountain,"<Point><coordinates>-72.849106,43.661198,0.0</coordinates></Point>"
Suicide Six,"<Point><coordinates>-72.518913,43.623013,0.0</coordinates></Point>"
Wolf Creek Utah Ski Resort,"<Point><coordinates>-111.868126,41.309212,0.0</coordinates></Point>"
Smugglers Notch,"<Point><coordinates>-72.787201,44.555004,0.0</coordinates></Point>"
Eagle Crest Ski Resort,"<Point><coordinates>-134.557861,58.32103,0.0</coordinates></Point>"
